Timestamp,ImageFilename,RecognizedText
2025-06-03_13-46-19,plate_2025-06-03_13-46-19_0000.jpg,26034
2025-06-03_13-46-20,plate_2025-06-03_13-46-20_0001.jpg,C60361
2025-06-03_13-46-23,plate_2025-06-03_13-46-23_0002.jpg,76036 KL
2025-06-03_13-46-26,plate_2025-06-03_13-46-26_0003.jpg,KLE603
2025-06-03_13-46-27,plate_2025-06-03_13-46-27_0004.jpg,KLR6036
2025-06-03_13-46-33,plate_2025-06-03_13-46-33_0005.jpg,K603
2025-06-03_13-46-34,plate_2025-06-03_13-46-34_0006.jpg,KL6036
2025-06-03_14-04-32,plate_2025-06-03_14-04-32_0000.jpg,MP ND874
2025-06-03_14-04-35,plate_2025-06-03_14-04-35_0001.jpg,ND874
2025-06-03_14-04-44,plate_2025-06-03_14-04-44_0002.jpg,8740
2025-06-03_14-04-47,plate_2025-06-03_14-04-47_0003.jpg,ND 8740
2025-06-03_14-25-28,plate_2025-06-03_14-25-28_0000.jpg,N87
2025-06-03_14-25-39,plate_2025-06-03_14-25-39_0001.jpg,ND 874L
2025-06-03_14-25-43,plate_2025-06-03_14-25-43_0002.jpg,ND874
2025-06-03_14-26-05,plate_2025-06-03_14-26-05_0003.jpg,MP ND874
2025-06-03_14-26-09,plate_2025-06-03_14-26-09_0004.jpg,ND8740
2025-06-03_14-54-31,plate_2025-06-03_14-54-31_0000.jpg,ND 8740
2025-06-03_15-01-09,plate_2025-06-03_15-01-09_0000.jpg,MP ND87
2025-06-03_15-01-13,plate_2025-06-03_15-01-13_0001.jpg,ND8740
2025-06-03_15-11-01,plate_2025-06-03_15-11-01_0000.jpg,ND 8740
2025-06-03_15-15-22,plate_2025-06-03_15-15-22_0000.jpg,ND874
2025-06-03_15-15-28,plate_2025-06-03_15-15-28_0001.jpg,ND 8740
2025-06-03_15-20-28,plate_2025-06-03_15-20-28_0000.jpg,ND874
2025-06-03_15-20-29,plate_2025-06-03_15-20-29_0001.jpg,ND8740
2025-06-03_16-49-19,plate_2025-06-03_16-49-19_0002.jpg,MK 8366
2025-06-03_16-49-24,plate_2025-06-03_16-49-24_0003.jpg,8366
2025-06-03_16-49-29,plate_2025-06-03_16-49-29_0004.jpg,GKT 7 18366
2025-06-03_16-49-37,plate_2025-06-03_16-49-37_0005.jpg,GK18366
2025-06-03_16-49-48,plate_2025-06-03_16-49-48_0006.jpg,GKL 7 8366
2025-06-03_16-49-54,plate_2025-06-03_16-49-54_0007.jpg,GKT38360
2025-06-03_16-50-02,plate_2025-06-03_16-50-02_0008.jpg,EKT8366
2025-06-03_17-33-22,plate_2025-06-03_17-33-22_0000.jpg,76036 IKL
2025-06-03_17-33-25,plate_2025-06-03_17-33-25_0001.jpg,KLE603
2025-06-03_17-33-27,plate_2025-06-03_17-33-27_0002.jpg,KL6036
2025-06-03_17-38-35,plate_2025-06-03_17-38-35_0000.jpg,KL603
2025-06-03_17-38-37,plate_2025-06-03_17-38-37_0001.jpg,L36036
2025-06-03_17-38-37,plate_2025-06-03_17-38-37_0002.jpg,TKL60
2025-06-03_17-38-39,plate_2025-06-03_17-38-39_0003.jpg,KL6036
2025-06-03_17-44-40,plate_2025-06-03_17-44-40_0000.jpg,KLZ6036
2025-06-04 09:35:55,plate_20250604_093555_028485_0000.jpg,MP ND,50
